num 1: 0, num 2: 0, result: {'0000 000': 1000}, processed: (0, 0)v
num 1: 0, num 2: 1, result: {'0001 000': 1000}, processed: (1, 0)v
num 1: 0, num 2: 2, result: {'0010 000': 1000}, processed: (2, 0)v
num 1: 0, num 2: 3, result: {'0011 000': 1000}, processed: (3, 0)v
num 1: 0, num 2: 4, result: {'1100 000': 1000}, processed: (12, 0)x
num 1: 0, num 2: 5, result: {'1101 000': 1000}, processed: (13, 0)x
num 1: 0, num 2: 6, result: {'1110 000': 1000}, processed: (14, 0)x
num 1: 0, num 2: 7, result: {'1111 000': 1000}, processed: (15, 0)x

num 1: 1, num 2: 0, result: {'0001 001': 1000}, processed: (1, 1)v
num 1: 1, num 2: 1, result: {'0010 001': 1000}, processed: (2, 1)v
num 1: 1, num 2: 2, result: {'0011 001': 1000}, processed: (3, 1)v
num 1: 1, num 2: 3, result: {'0100 001': 1000}, processed: (4, 1)v
num 1: 1, num 2: 4, result: {'1101 001': 1000}, processed: (13, 1)x
num 1: 1, num 2: 5, result: {'1110 001': 1000}, processed: (14, 1)x
num 1: 1, num 2: 6, result: {'1111 001': 1000}, processed: (15, 1)x
num 1: 1, num 2: 7, result: {'0000 001': 1000}, processed: (0, 1)x

num 1: 2, num 2: 0, result: {'0010 010': 1000}, processed: (2, 2)v
num 1: 2, num 2: 1, result: {'0011 010': 1000}, processed: (3, 2)v
num 1: 2, num 2: 2, result: {'0100 010': 1000}, processed: (4, 2)v
num 1: 2, num 2: 3, result: {'0101 010': 1000}, processed: (5, 2)v
num 1: 2, num 2: 4, result: {'1110 010': 1000}, processed: (14, 2)x
num 1: 2, num 2: 5, result: {'1111 010': 1000}, processed: (15, 2)x
num 1: 2, num 2: 6, result: {'0000 010': 1000}, processed: (0, 2)x
num 1: 2, num 2: 7, result: {'0001 010': 1000}, processed: (1, 2)x

num 1: 3, num 2: 0, result: {'0011 011': 1000}, processed: (3, 3)v
num 1: 3, num 2: 1, result: {'0100 011': 1000}, processed: (4, 3)v
num 1: 3, num 2: 2, result: {'0101 011': 1000}, processed: (5, 3)v
num 1: 3, num 2: 3, result: {'0110 011': 1000}, processed: (6, 3)v
num 1: 3, num 2: 4, result: {'1111 011': 1000}, processed: (15, 3)x
num 1: 3, num 2: 5, result: {'0000 011': 1000}, processed: (0, 3)x
num 1: 3, num 2: 6, result: {'0001 011': 1000}, processed: (1, 3)x
num 1: 3, num 2: 7, result: {'0010 011': 1000}, processed: (2, 3)x

num 1: 4, num 2: 0, result: {'1100 100': 1000}, processed: (12, 4)x
num 1: 4, num 2: 1, result: {'1101 100': 1000}, processed: (13, 4)x
num 1: 4, num 2: 2, result: {'1110 100': 1000}, processed: (14, 4)x
num 1: 4, num 2: 3, result: {'1111 100': 1000}, processed: (15, 4)x
num 1: 4, num 2: 4, result: {'1000 100': 1000}, processed: (8, 4)v
num 1: 4, num 2: 5, result: {'1001 100': 1000}, processed: (9, 4)v
num 1: 4, num 2: 6, result: {'1010 100': 1000}, processed: (10, 4)v
num 1: 4, num 2: 7, result: {'1011 100': 1000}, processed: (11, 4)v

num 1: 5, num 2: 0, result: {'1101 101': 1000}, processed: (13, 5)x
num 1: 5, num 2: 1, result: {'1110 101': 1000}, processed: (14, 5)x
num 1: 5, num 2: 2, result: {'1111 101': 1000}, processed: (15, 5)x
num 1: 5, num 2: 3, result: {'0000 101': 1000}, processed: (0, 5)x
num 1: 5, num 2: 4, result: {'1001 101': 1000}, processed: (9, 5)v
num 1: 5, num 2: 5, result: {'1010 101': 1000}, processed: (10, 5)v
num 1: 5, num 2: 6, result: {'1011 101': 1000}, processed: (11, 5)v
num 1: 5, num 2: 7, result: {'1100 101': 1000}, processed: (12, 5)v

num 1: 6, num 2: 0, result: {'1110 110': 1000}, processed: (14, 6)x
num 1: 6, num 2: 1, result: {'1111 110': 1000}, processed: (15, 6)x
num 1: 6, num 2: 2, result: {'0000 110': 1000}, processed: (0, 6)x
num 1: 6, num 2: 3, result: {'0001 110': 1000}, processed: (1, 6)x
num 1: 6, num 2: 4, result: {'1010 110': 1000}, processed: (10, 6)v
num 1: 6, num 2: 5, result: {'1011 110': 1000}, processed: (11, 6)v
num 1: 6, num 2: 6, result: {'1100 110': 1000}, processed: (12, 6)v
num 1: 6, num 2: 7, result: {'1101 110': 1000}, processed: (13, 6)v

num 1: 7, num 2: 0, result: {'1111 111': 1000}, processed: (15, 7)x
num 1: 7, num 2: 1, result: {'0000 111': 1000}, processed: (0, 7)x
num 1: 7, num 2: 2, result: {'0001 111': 1000}, processed: (1, 7)x
num 1: 7, num 2: 3, result: {'0010 111': 1000}, processed: (2, 7)x
num 1: 7, num 2: 4, result: {'1011 111': 1000}, processed: (11, 7)v
num 1: 7, num 2: 5, result: {'1100 111': 1000}, processed: (12, 7)v
num 1: 7, num 2: 6, result: {'1101 111': 1000}, processed: (13, 7)v
num 1: 7, num 2: 7, result: {'1110 111': 1000}, processed: (14, 7)v
